district,Biden,Trump,pre_tot,pre_mgn
04-30,651,740,1412,-0.063031161
05-30,273,905,1198,-0.52754591
06-30,145,372,527,-0.430740038
07-30,66,361,430,-0.686046512
08-30,571,704,1293,-0.102861562
09-30,409,675,1097,-0.24247949
10-30,231,479,715,-0.346853147
11-30,197,586,790,-0.492405063
12-30,259,623,907,-0.401323043
01-31,220,81,308,0.451298701
02-31,711,547,1276,0.128526646
03-31,889,321,1227,0.462917685
04-31,694,321,1036,0.36003861
05-31,872,384,1279,0.381548084
06-31,1011,260,1291,0.581719597
07-31,914,275,1206,0.529850746
08-31,421,151,584,0.462328767
09-31,452,244,709,0.293370945
10-31,381,216,608,0.271381579
11-31,461,288,768,0.225260417
16-31,48,11,62,0.596774194
17-31,0,0,0,#DIV/0!
01-32,726,273,1021,0.443682664
02-32,415,211,644,0.316770186
03-32,551,311,877,0.273660205
04-32,25,12,38,0.342105263
05-32,620,467,1110,0.137837838
06-32,104,127,233,-0.098712446
07-32,1001,408,1432,0.414106145
08-32,157,16,178,0.792134831
09-32,416,185,621,0.371980676
10-32,327,121,455,0.452747253
11-32,613,353,990,0.262626263
12-32,629,524,1170,0.08974359
01-33,228,235,469,-0.014925373
02-33,508,522,1053,-0.013295347
03-33,709,868,1602,-0.099250936
04-33,642,948,1613,-0.189708617
05-33,743,799,1566,-0.035759898
06-33,61,156,223,-0.426008969
07-33,319,659,996,-0.341365462
08-33,658,995,1667,-0.202159568
09-33,851,727,1617,0.07668522
10-33,372,734,1121,-0.322925959
01-34,780,637,1456,0.098214286
02-34,340,388,738,-0.06504065
03-34,1025,673,1727,0.203821656
04-34,223,374,603,-0.250414594
05-34,820,785,1630,0.021472393
06-34,261,306,585,-0.076923077
07-34,394,464,874,-0.080091533
08-34,836,747,1603,0.055520898
09-34,923,672,1620,0.154938272
10-34,1213,1034,2287,0.078268474
11-34,16,33,52,-0.326923077
01-35,704,1852,2597,-0.442048518
02-35,1032,1595,2654,-0.21213263
03-35,561,664,1244,-0.082797428
04-35,849,868,1737,-0.0109384
05-35,152,408,566,-0.45229682
06-35,222,544,772,-0.417098446
07-35,391,712,1122,-0.286096257
01-36,826,839,1693,-0.007678677
02-36,640,1171,1839,-0.288743883
03-36,956,1149,2129,-0.090652889
04-36,499,532,1044,-0.031609195
05-36,347,736,1096,-0.354927007
06-36,652,774,1447,-0.08431237
07-36,687,613,1330,0.055639098
08-36,74,147,226,-0.32300885
09-36,29,81,112,-0.464285714
10-36,49,84,134,-0.26119403
11-36,165,214,387,-0.126614987
01-37,769,625,1419,0.101479915
02-37,469,862,1348,-0.291543027
03-37,1290,1666,2988,-0.12583668
04-37,1293,1517,2833,-0.079068126
05-37,1178,1400,2603,-0.085286208
06-37,556,802,1375,-0.178909091
07-37,592,918,1522,-0.214191853
01-38,846,1593,2458,-0.303905614
02-38,1351,1923,3307,-0.172966435
03-38,1256,1609,2893,-0.122018666
04-38,1149,1054,2218,0.04283138
05-38,659,977,1650,-0.192727273
06-38,1064,1786,2873,-0.251305256
07-38,1522,2035,3592,-0.142817372
08-38,560,1274,1852,-0.385529158
01-39,448,1054,1526,-0.397116645
02-39,873,907,1809,-0.018794914
03-39,494,779,1288,-0.221273292
04-39,677,569,1270,0.08503937
05-39,373,883,1278,-0.399061033
06-39,625,1067,1721,-0.256827426
07-39,480,717,1215,-0.195061728
01-40,374,729,1117,-0.317815577
02-40,466,1561,2042,-0.536238981
03-40,520,435,970,0.087628866
04-40,432,1132,1572,-0.445292621
05-40,285,611,910,-0.358241758
06-40,362,1120,1506,-0.503320053
07-40,578,1125,1726,-0.316917729
08-40,278,558,850,-0.329411765
01-41,406,1487,1914,-0.564785789
02-41,1153,1625,2804,-0.168330956
03-41,542,629,1181,-0.073666384
04-41,440,691,1143,-0.21959755
05-41,1157,1329,2520,-0.068253968
06-41,479,743,1226,-0.215334421
07-41,474,710,1202,-0.196339434
08-41,305,462,772,-0.203367876
16-41,63,2,68,0.897058824
17-41,0,0,0,#DIV/0!
